product_code,month_letter,contract_year,date,settle
ZC,H,2008,2007-01-05,372.0
ZC,H,2008,2007-01-08,371.25
ZC,H,2008,2007-01-09,365.5
ZC,H,2008,2007-01-10,368.0
ZC,H,2008,2007-01-11,380.25
ZC,H,2008,2007-01-12,400.25
ZC,H,2008,2007-01-16,393.5
ZC,H,2008,2007-01-17,395.5
ZC,H,2008,2007-01-18,397.5
ZC,H,2008,2007-01-19,396.0
ZC,H,2008,2007-01-22,401.25
ZC,H,2008,2007-01-23,408.25
ZC,H,2008,2007-01-24,404.0
ZC,H,2008,2007-01-25,405.0
ZC,H,2008,2007-01-26,404.5
ZC,H,2008,2007-01-29,399.5
ZC,H,2008,2007-01-30,403.5
ZC,H,2008,2007-01-31,401.0
ZC,H,2008,2007-02-01,399.0
ZC,H,2008,2007-02-02,403.5
ZC,H,2008,2007-02-05,401.5
ZC,H,2008,2007-02-06,397.75
ZC,H,2008,2007-02-07,397.0
ZC,H,2008,2007-02-08,403.0
ZC,H,2008,2007-02-09,405.5
ZC,H,2008,2007-02-12,404.75
ZC,H,2008,2007-02-13,409.25
ZC,H,2008,2007-02-14,407.25
ZC,H,2008,2007-02-15,411.25
ZC,H,2008,2007-02-16,418.75
ZC,H,2008,2007-02-20,419.25
ZC,H,2008,2007-02-21,428.25
ZC,H,2008,2007-02-22,434.0
ZC,H,2008,2007-02-23,426.75
ZC,H,2008,2007-02-26,425.5
ZC,H,2008,2007-02-27,418.0
ZC,H,2008,2007-02-28,427.0
ZC,H,2008,2007-03-01,421.25
ZC,H,2008,2007-03-02,415.5
ZC,H,2008,2007-03-05,416.75
ZC,H,2008,2007-03-06,414.5
ZC,H,2008,2007-03-07,419.0
ZC,H,2008,2007-03-08,419.25
ZC,H,2008,2007-03-09,416.75
ZC,H,2008,2007-03-12,411.75
ZC,H,2008,2007-03-13,409.25
ZC,H,2008,2007-03-14,410.25
ZC,H,2008,2007-03-15,406.75
ZC,H,2008,2007-03-16,411.5
ZC,H,2008,2007-03-19,414.25
ZC,H,2008,2007-03-20,418.25
ZC,H,2008,2007-03-21,418.25
ZC,H,2008,2007-03-22,418.75
ZC,H,2008,2007-03-23,419.0
ZC,H,2008,2007-03-26,410.75
ZC,H,2008,2007-03-27,410.5
ZC,H,2008,2007-03-28,409.75
ZC,H,2008,2007-03-29,412.25
ZC,H,2008,2007-03-30,392.25
ZC,H,2008,2007-04-02,379.5
ZC,H,2008,2007-04-03,378.75
ZC,H,2008,2007-04-04,391.25
ZC,H,2008,2007-04-05,397.5
ZC,H,2008,2007-04-09,397.5
ZC,H,2008,2007-04-10,405.25
ZC,H,2008,2007-04-11,399.25
ZC,H,2008,2007-04-12,398.0
ZC,H,2008,2007-04-13,404.75
ZC,H,2008,2007-04-16,400.5
ZC,H,2008,2007-04-17,389.75
ZC,H,2008,2007-04-18,391.0
ZC,H,2008,2007-04-19,390.25
ZC,H,2008,2007-04-20,385.25
ZC,H,2008,2007-04-23,379.75
ZC,H,2008,2007-04-24,383.25
ZC,H,2008,2007-04-25,389.5
ZC,H,2008,2007-04-26,384.75
ZC,H,2008,2007-04-27,377.75
ZC,H,2008,2007-04-30,376.0
ZC,H,2008,2007-05-01,389.0
ZC,H,2008,2007-05-02,391.25
ZC,H,2008,2007-05-03,397.25
ZC,H,2008,2007-05-04,401.0
ZC,H,2008,2007-05-07,394.25
ZC,H,2008,2007-05-08,377.5
ZC,H,2008,2007-05-09,377.0
ZC,H,2008,2007-05-10,369.0
ZC,H,2008,2007-05-11,386.25
ZC,H,2008,2007-05-14,383.0
ZC,H,2008,2007-05-15,389.75
ZC,H,2008,2007-05-16,388.75
ZC,H,2008,2007-05-17,382.25
ZC,H,2008,2007-05-18,377.5
ZC,H,2008,2007-05-21,390.25
ZC,H,2008,2007-05-22,380.5
ZC,H,2008,2007-05-23,382.0
ZC,H,2008,2007-05-24,383.25
ZC,H,2008,2007-05-25,385.75
ZC,H,2008,2007-05-29,379.0
ZC,H,2008,2007-05-30,392.5
ZC,H,2008,2007-05-31,396.75
ZC,H,2008,2007-06-01,393.5
ZC,H,2008,2007-06-04,393.75
ZC,H,2008,2007-06-05,393.5
ZC,H,2008,2007-06-06,392.0
ZC,H,2008,2007-06-07,404.0
ZC,H,2008,2007-06-08,403.0
ZC,H,2008,2007-06-11,415.5
ZC,H,2008,2007-06-12,415.0
ZC,H,2008,2007-06-13,425.25
ZC,H,2008,2007-06-14,426.5
ZC,H,2008,2007-06-15,432.5
ZC,H,2008,2007-06-18,431.75
ZC,H,2008,2007-06-19,411.75
ZC,H,2008,2007-06-20,415.25
ZC,H,2008,2007-06-21,408.25
ZC,H,2008,2007-06-22,392.5
ZC,H,2008,2007-06-25,385.25
ZC,H,2008,2007-06-26,386.25
ZC,H,2008,2007-06-27,374.0
ZC,H,2008,2007-06-28,371.25
ZC,H,2008,2007-06-29,363.75
ZC,H,2008,2007-07-02,364.25
ZC,H,2008,2007-07-03,351.75
ZC,H,2008,2007-07-05,356.5
ZC,H,2008,2007-07-06,365.25
ZC,H,2008,2007-07-09,363.75
ZC,H,2008,2007-07-10,371.0
ZC,H,2008,2007-07-11,369.5
ZC,H,2008,2007-07-12,378.0
ZC,H,2008,2007-07-13,381.75
ZC,H,2008,2007-07-16,361.75
ZC,H,2008,2007-07-17,351.25
ZC,H,2008,2007-07-18,357.5
ZC,H,2008,2007-07-19,351.75
ZC,H,2008,2007-07-20,348.75
ZC,H,2008,2007-07-23,340.75
ZC,H,2008,2007-07-24,342.0
ZC,H,2008,2007-07-25,342.5
ZC,H,2008,2007-07-26,348.5
ZC,H,2008,2007-07-27,351.75
ZC,H,2008,2007-07-30,355.25
ZC,H,2008,2007-07-31,357.5
ZC,H,2008,2007-08-01,351.25
ZC,H,2008,2007-08-02,356.25
ZC,H,2008,2007-08-03,358.75
ZC,H,2008,2007-08-06,359.25
ZC,H,2008,2007-08-07,367.5
ZC,H,2008,2007-08-08,373.5
ZC,H,2008,2007-08-09,364.5
ZC,H,2008,2007-08-10,365.75
ZC,H,2008,2007-08-13,364.25
ZC,H,2008,2007-08-14,360.5
ZC,H,2008,2007-08-15,360.5
ZC,H,2008,2007-08-16,354.25
ZC,H,2008,2007-08-17,360.0
ZC,H,2008,2007-08-20,364.0
ZC,H,2008,2007-08-21,370.0
ZC,H,2008,2007-08-22,379.0
ZC,H,2008,2007-08-23,377.25
ZC,H,2008,2007-08-24,374.25
ZC,H,2008,2007-08-27,369.25
ZC,H,2008,2007-08-28,361.5
ZC,H,2008,2007-08-29,357.0
ZC,H,2008,2007-08-30,356.0
ZC,H,2008,2007-08-31,356.0
ZC,H,2008,2007-09-04,369.25
ZC,H,2008,2007-09-05,361.75
ZC,H,2008,2007-09-06,355.75
